Runtime,Sim ID,Model,Method
80.09498763084412,0,Spike,Random Feedback
79.97139525413513,1,Spike,Random Feedback
79.93746733665466,2,Spike,Random Feedback
79.80440759658813,3,Spike,Random Feedback
79.7899489402771,4,Spike,Random Feedback
79.79842472076416,5,Spike,Random Feedback
79.79689598083496,6,Spike,Random Feedback
79.81643795967102,7,Spike,Random Feedback
80.04786419868469,8,Spike,Random Feedback
79.96843218803406,9,Spike,Random Feedback
83.29452610015869,0,Spike,Feedback Align
83.38884997367859,1,Spike,Feedback Align
83.4253876209259,2,Spike,Feedback Align
83.49304461479187,3,Spike,Feedback Align
83.57868266105652,4,Spike,Feedback Align
83.48455452919006,5,Spike,Feedback Align
83.406320810318,6,Spike,Feedback Align
83.57858467102051,7,Spike,Feedback Align
83.43366050720215,8,Spike,Feedback Align
83.43472242355347,9,Spike,Feedback Align
62.784326791763306,0,Rate,Random Feedback
62.904313802719116,1,Rate,Random Feedback
62.908519983291626,2,Rate,Random Feedback
62.90688133239746,3,Rate,Random Feedback
62.95124125480652,4,Rate,Random Feedback
62.90982222557068,5,Rate,Random Feedback
62.89658331871033,6,Rate,Random Feedback
62.82265543937683,7,Rate,Random Feedback
62.74725842475891,8,Rate,Random Feedback
62.81031131744385,9,Rate,Random Feedback
65.97552680969238,0,Rate,Feedback Align
65.49603199958801,1,Rate,Feedback Align
65.41728019714355,2,Rate,Feedback Align
65.42024755477905,3,Rate,Feedback Align
64.43586659431458,4,Rate,Feedback Align
64.46621870994568,5,Rate,Feedback Align
64.45730662345886,6,Rate,Feedback Align
64.4107141494751,7,Rate,Feedback Align
64.51613759994507,8,Rate,Feedback Align
64.45259261131287,9,Rate,Feedback Align
