Runtime,Sim ID,Model,Method,Number Input Datasets
162.63071823120117,0,Spike,Feedback Align,1
162.4468069076538,1,Spike,Feedback Align,1
162.28227066993713,2,Spike,Feedback Align,1
162.35902667045593,3,Spike,Feedback Align,1
162.19201159477234,4,Spike,Feedback Align,1
162.47112607955933,0,Spike,Feedback Align,2
162.14715957641602,1,Spike,Feedback Align,2
162.49131536483765,2,Spike,Feedback Align,2
162.65767979621887,3,Spike,Feedback Align,2
162.39301776885986,4,Spike,Feedback Align,2
165.07397508621216,0,Spike,Feedback Align,3
164.9036316871643,1,Spike,Feedback Align,3
164.9631609916687,2,Spike,Feedback Align,3
165.00249910354614,3,Spike,Feedback Align,3
164.64880537986755,4,Spike,Feedback Align,3
164.87583470344543,0,Spike,Feedback Align,4
165.05664467811584,1,Spike,Feedback Align,4
165.1091091632843,2,Spike,Feedback Align,4
165.11348628997803,3,Spike,Feedback Align,4
165.26519107818604,4,Spike,Feedback Align,4
179.5324354171753,0,Spike,Feedback Align,5
179.79839301109314,1,Spike,Feedback Align,5
181.3273675441742,2,Spike,Feedback Align,5
179.55420541763306,3,Spike,Feedback Align,5
180.67053413391113,4,Spike,Feedback Align,5
187.85793709754944,0,Spike,Feedback Align,6
188.39703488349915,1,Spike,Feedback Align,6
186.8651099205017,2,Spike,Feedback Align,6
186.9901406764984,3,Spike,Feedback Align,6
187.29839158058167,4,Spike,Feedback Align,6
207.6807839870453,0,Spike,Feedback Align,7
207.4982566833496,1,Spike,Feedback Align,7
207.15931797027588,2,Spike,Feedback Align,7
205.70062589645386,3,Spike,Feedback Align,7
207.13379836082458,4,Spike,Feedback Align,7
128.7513689994812,0,Rate,Feedback Align,1
128.8674614429474,1,Rate,Feedback Align,1
130.1875352859497,2,Rate,Feedback Align,1
130.83808708190918,3,Rate,Feedback Align,1
129.50237250328064,4,Rate,Feedback Align,1
150.26077723503113,0,Rate,Feedback Align,2
150.03809928894043,1,Rate,Feedback Align,2
150.0242371559143,2,Rate,Feedback Align,2
150.02287888526917,3,Rate,Feedback Align,2
150.0226399898529,4,Rate,Feedback Align,2
226.32195019721985,0,Rate,Feedback Align,3
226.70249819755554,1,Rate,Feedback Align,3
226.63611674308777,2,Rate,Feedback Align,3
226.63410687446594,3,Rate,Feedback Align,3
226.62128067016602,4,Rate,Feedback Align,3
286.9333031177521,0,Rate,Feedback Align,4
287.22176218032837,1,Rate,Feedback Align,4
287.246866941452,2,Rate,Feedback Align,4
287.28607630729675,3,Rate,Feedback Align,4
287.2792909145355,4,Rate,Feedback Align,4
516.6022517681122,0,Rate,Feedback Align,5
516.7999103069305,1,Rate,Feedback Align,5
516.8010816574097,2,Rate,Feedback Align,5
516.7946088314056,3,Rate,Feedback Align,5
516.7833812236786,4,Rate,Feedback Align,5
669.9717810153961,0,Rate,Feedback Align,6
670.0046298503876,1,Rate,Feedback Align,6
669.9904320240021,2,Rate,Feedback Align,6
670.014461517334,3,Rate,Feedback Align,6
670.2247183322906,4,Rate,Feedback Align,6
996.309784412384,0,Rate,Feedback Align,7
996.5715887546539,1,Rate,Feedback Align,7
996.5281693935394,2,Rate,Feedback Align,7
996.5630300045013,3,Rate,Feedback Align,7
996.5299229621887,4,Rate,Feedback Align,7
